,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
177,3713351348.8,1.2,1.171,2.5,DC,DC
178,3713351351.32,1.2,1.171,2.5,DC,DC
179,3713351353.84,1.2,1.171,2.501,DC,DC
180,3713351356.35,1.2,1.171,2.501,DC,DC
181,3713351358.86,1.2,1.171,2.501,DC,DC
182,3713351361.38,1.2,1.171,2.501,DC,DC
183,3713351363.88,1.2,1.171,2.501,DC,DC
184,3713351366.4,1.2,1.171,2.501,DC,DC
185,3713351368.91,1.2,1.171,2.501,DC,DC
186,3713351371.44,1.2,1.171,2.501,DC,DC
187,3713351373.95,1.2,1.171,2.501,DC,DC
188,3713351376.46,1.2,1.171,2.501,DC,DC
189,3713351378.98,1.2,1.171,2.501,DC,DC
190,3713351381.49,1.2,1.171,2.501,DC,DC
191,3713351384.0,1.2,1.171,2.501,DC,DC
192,3713351386.52,1.2,1.171,2.501,DC,DC
193,3713351389.03,1.2,1.171,2.501,DC,DC
194,3713351391.54,1.2,1.171,2.501,DC,DC
195,3713351394.07,1.2,1.171,2.501,DC,DC
196,3713351396.58,1.2,1.171,2.501,DC,DC
197,3713351399.08,1.2,1.171,2.501,DC,DC
198,3713351401.6,1.2,1.171,2.501,DC,DC
199,3713351404.1,1.2,1.171,2.501,DC,DC
200,3713351406.63,1.2,1.171,2.5,DC,DC
201,3713351409.15,1.2,1.171,2.501,DC,DC
202,3713351411.68,1.2,1.171,2.501,DC,DC
203,3713351414.2,1.2,1.171,2.501,DC,DC
204,3713351416.71,1.2,1.171,2.5,DC,DC
205,3713351419.23,1.2,1.171,2.501,DC,DC
206,3713351421.73,1.2,1.171,2.501,DC,DC
207,3713351424.24,1.2,1.171,2.501,DC,DC
208,3713351426.75,1.2,1.171,2.501,DC,DC
209,3713351429.27,1.2,1.171,2.501,DC,DC
210,3713351431.79,1.2,1.171,2.501,DC,DC
211,3713351434.31,1.2,1.171,2.501,DC,DC
212,3713351436.82,1.2,1.171,2.501,DC,DC
213,3713351439.33,1.2,1.171,2.501,DC,DC
214,3713351441.85,1.2,1.171,2.501,DC,DC
215,3713351444.37,1.2,1.171,2.501,DC,DC
216,3713351446.88,1.2,1.171,2.501,DC,DC
217,3713351449.39,1.2,1.171,2.501,DC,DC
218,3713351451.91,1.2,1.171,2.501,DC,DC
219,3713351454.43,1.2,1.171,2.5,DC,DC
220,3713351456.96,1.2,1.171,2.501,DC,DC
221,3713351459.49,1.2,1.171,2.5,DC,DC
222,3713351462.01,1.2,1.171,2.5,DC,DC
223,3713351464.53,1.2,1.171,2.501,DC,DC
224,3713351467.06,1.2,1.171,2.501,DC,DC
225,3713351469.57,1.2,1.171,2.501,DC,DC
226,3713351472.09,1.2,1.171,2.501,DC,DC
227,3713351474.6,1.2,1.171,2.501,DC,DC
228,3713351477.13,1.2,1.171,2.501,DC,DC
229,3713351479.67,1.2,1.171,2.501,DC,DC
230,3713351482.19,1.2,1.171,2.501,DC,DC
231,3713351484.69,1.2,1.171,2.5,DC,DC
232,3713351487.21,1.2,1.171,2.5,DC,DC
233,3713351489.75,1.2,1.171,2.501,DC,DC
234,3713351492.26,1.2,1.171,2.501,DC,DC
235,3713351494.78,1.2,1.171,2.501,DC,DC
236,3713351497.29,1.2,1.171,2.501,DC,DC
237,3713351499.8,1.2,1.171,2.5,DC,DC
238,3713351502.31,1.2,1.171,2.501,DC,DC
239,3713351504.83,1.2,1.171,2.501,DC,DC
240,3713351507.35,1.2,1.171,2.501,DC,DC
241,3713351509.86,1.2,1.171,2.501,DC,DC
242,3713351512.37,1.2,1.164,2.501,DC,DC
243,3713351514.88,1.2,1.164,2.501,DC,DC
244,3713351517.4,1.2,1.162,2.501,DC,DC
245,3713351519.91,1.2,1.162,2.501,DC,DC
246,3713351522.43,1.2,1.162,2.5,DC,DC
247,3713351524.94,1.2,1.162,2.501,DC,DC
248,3713351527.44,1.2,1.162,2.5,DC,DC
249,3713351529.95,1.2,1.162,2.501,DC,DC
250,3713351532.45,1.2,1.162,2.501,DC,DC
251,3713351534.97,1.2,1.162,2.501,DC,DC
252,3713351537.48,1.2,1.162,2.501,DC,DC
253,3713351539.99,1.2,1.162,2.501,DC,DC
