,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
256,3713517638.63,1.135,1.129,2.5,DC,DC
257,3713517641.15,1.135,1.129,2.5,DC,DC
258,3713517643.66,1.135,1.129,2.5,DC,DC
259,3713517646.17,1.135,1.13,2.5,DC,DC
260,3713517648.68,1.135,1.129,2.5,DC,DC
261,3713517651.19,1.135,1.129,2.5,DC,DC
262,3713517653.7,1.135,1.129,2.5,DC,DC
263,3713517656.23,1.135,1.129,2.5,DC,DC
264,3713517658.73,1.135,1.129,2.5,DC,DC
265,3713517661.25,1.135,1.129,2.5,DC,DC
266,3713517663.77,1.135,1.129,2.5,DC,DC
267,3713517666.27,1.135,1.129,2.5,DC,DC
268,3713517668.78,1.135,1.129,2.5,DC,DC
269,3713517671.29,1.135,1.129,2.5,DC,DC
270,3713517673.8,1.135,1.129,2.5,DC,DC
271,3713517676.3,1.135,1.129,2.5,DC,DC
272,3713517678.81,1.135,1.129,2.5,DC,DC
273,3713517681.33,1.135,1.129,2.5,DC,DC
274,3713517683.84,1.135,1.129,2.5,DC,DC
275,3713517686.34,1.135,1.129,2.5,DC,DC
276,3713517688.85,1.135,1.129,2.5,DC,DC
277,3713517691.37,1.135,1.129,2.5,DC,DC
278,3713517693.88,1.135,1.129,2.5,DC,DC
279,3713517696.4,1.135,1.13,2.5,DC,DC
280,3713517698.9,1.135,1.13,2.5,DC,DC
281,3713517701.4,1.135,1.13,2.5,DC,DC
282,3713517703.91,1.135,1.13,2.5,DC,DC
283,3713517706.42,1.135,1.13,2.5,DC,DC
284,3713517708.93,1.135,1.13,2.5,DC,DC
285,3713517711.44,1.135,1.13,2.5,DC,DC
286,3713517713.96,1.135,1.13,2.5,DC,DC
287,3713517716.47,1.135,1.13,2.5,DC,DC
288,3713517718.97,1.135,1.13,2.5,DC,DC
289,3713517758.97,1.135,1.136,2.5,DC,DC
290,3713517761.48,1.135,1.136,2.5,DC,DC
291,3713517763.98,1.135,1.136,2.5,DC,DC
292,3713517766.49,1.135,1.136,2.5,DC,DC
293,3713517769.0,1.135,1.136,2.5,DC,DC
294,3713517771.52,1.135,1.137,2.5,DC,DC
295,3713517774.03,1.135,1.136,2.5,DC,DC
