,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
175,3713769784.39,1.95,1.189,2.029,DC,DC
176,3713769786.9,1.95,1.189,2.029,DC,DC
177,3713769789.41,1.95,1.189,2.029,DC,DC
178,3713769791.92,1.95,1.189,2.029,DC,DC
179,3713769794.45,1.95,1.189,2.029,DC,DC
180,3713769796.97,1.95,1.189,2.029,DC,DC
181,3713769799.48,1.95,1.189,2.029,DC,DC
182,3713769801.99,1.95,1.188,2.029,DC,DC
183,3713769804.51,1.95,1.189,2.029,DC,DC
184,3713769807.02,1.95,1.189,2.029,DC,DC
185,3713769809.54,1.95,1.189,2.029,DC,DC
186,3713769812.06,1.95,1.189,2.029,DC,DC
187,3713769814.58,1.95,1.189,2.029,DC,DC
188,3713769817.11,1.95,1.189,2.029,DC,DC
189,3713769819.63,1.95,1.188,2.029,DC,DC
190,3713769822.14,1.95,1.188,2.029,DC,DC
191,3713769824.65,1.95,1.188,2.029,DC,DC
192,3713769827.18,1.95,1.189,2.029,DC,DC
193,3713769852.18,1.95,1.188,2.033,DC,DC
194,3713769854.69,1.95,1.188,2.034,DC,DC
195,3713769857.2,1.95,1.188,2.034,DC,DC
196,3713769859.74,1.95,1.188,2.034,DC,DC
197,3713769862.25,1.95,1.188,2.034,DC,DC
198,3713769864.77,1.95,1.188,2.034,DC,DC
199,3713769867.27,1.95,1.188,2.033,DC,DC
200,3713769869.78,1.95,1.188,2.033,DC,DC
201,3713769872.29,1.95,1.188,2.033,DC,DC
202,3713769874.8,1.95,1.188,2.034,DC,DC
203,3713769877.31,1.95,1.188,2.034,DC,DC
204,3713769879.82,1.95,1.188,2.034,DC,DC
205,3713769882.33,1.95,1.188,2.033,DC,DC
206,3713769884.84,1.95,1.188,2.033,DC,DC
207,3713769887.35,1.95,1.188,2.033,DC,DC
208,3713769889.87,1.95,1.188,2.034,DC,DC
209,3713769892.38,1.95,1.188,2.034,DC,DC
210,3713769894.9,1.95,1.189,2.034,DC,DC
211,3713769897.41,1.95,1.188,2.034,DC,DC
212,3713769899.92,1.95,1.188,2.034,DC,DC
213,3713769902.43,1.95,1.188,2.034,DC,DC
214,3713769904.94,1.95,1.189,2.034,DC,DC
215,3713769907.46,1.95,1.189,2.034,DC,DC
216,3713769909.97,1.95,1.189,2.034,DC,DC
217,3713769912.47,1.95,1.188,2.033,DC,DC
218,3713769914.98,1.95,1.188,2.034,DC,DC
219,3713769917.49,1.95,1.189,2.033,DC,DC
220,3713769920.0,1.95,1.189,2.034,DC,DC
221,3713769922.51,1.95,1.189,2.034,DC,DC
222,3713769925.02,1.95,1.189,2.034,DC,DC
223,3713769927.54,1.95,1.189,2.034,DC,DC
224,3713769930.05,1.95,1.189,2.034,DC,DC
225,3713769932.56,1.95,1.189,2.034,DC,DC
226,3713769935.07,1.95,1.188,2.034,DC,DC
227,3713769937.57,1.95,1.188,2.034,DC,DC
228,3713769940.08,1.95,1.188,2.034,DC,DC
229,3713769942.6,1.95,1.188,2.034,DC,DC
230,3713769945.1,1.95,1.188,2.034,DC,DC
231,3713769947.62,1.95,1.188,2.034,DC,DC
232,3713769950.13,1.95,1.189,2.033,DC,DC
233,3713769952.63,1.95,1.189,2.034,DC,DC
234,3713769955.13,1.95,1.189,2.034,DC,DC
235,3713769957.64,1.95,1.189,2.034,DC,DC
236,3713769960.16,1.95,1.189,2.034,DC,DC
237,3713769962.68,1.95,1.189,2.034,DC,DC
238,3713769965.19,1.95,1.189,2.034,DC,DC
239,3713769967.7,1.95,1.189,2.034,DC,DC
240,3713769970.21,1.95,1.189,2.034,DC,DC
241,3713770023.79,1.95,1.189,2.039,DC,DC
242,3713770026.3,1.95,1.189,2.039,DC,DC
243,3713770028.81,1.95,1.189,2.039,DC,DC
244,3713770031.32,1.95,1.189,2.039,DC,DC
245,3713770033.83,1.95,1.189,2.039,DC,DC
246,3713770036.34,1.95,1.189,2.039,DC,DC
247,3713770038.85,1.95,1.189,2.039,DC,DC
248,3713770041.37,1.95,1.189,2.039,DC,DC
249,3713770043.88,1.95,1.189,2.039,DC,DC
250,3713770046.4,1.95,1.189,2.039,DC,DC
251,3713770048.91,1.95,1.189,2.039,DC,DC
252,3713770051.44,1.95,1.189,2.039,DC,DC
253,3713770053.96,1.95,1.189,2.039,DC,DC
254,3713770056.47,1.95,1.189,2.039,DC,DC
255,3713770058.99,1.95,1.189,2.039,DC,DC
256,3713770061.5,1.95,1.189,2.039,DC,DC
257,3713770064.03,1.95,1.189,2.039,DC,DC
258,3713770066.53,1.95,1.189,2.039,DC,DC
259,3713770069.04,1.95,1.189,2.039,DC,DC
260,3713770071.55,1.95,1.189,2.039,DC,DC
261,3713770074.06,1.95,1.189,2.039,DC,DC
262,3713770076.59,1.95,1.189,2.039,DC,DC
263,3713770079.09,1.95,1.189,2.039,DC,DC
264,3713770081.61,1.95,1.189,2.039,DC,DC
265,3713770084.13,1.95,1.189,2.039,DC,DC
266,3713770086.66,1.95,1.189,2.039,DC,DC
267,3713770089.17,1.95,1.189,2.039,DC,DC
268,3713770091.69,1.95,1.189,2.039,DC,DC
269,3713770094.2,1.95,1.189,2.039,DC,DC
270,3713770096.71,1.95,1.189,2.039,DC,DC
271,3713770099.24,1.95,1.189,2.039,DC,DC
272,3713770101.78,1.95,1.189,2.039,DC,DC
273,3713770104.29,1.95,1.189,2.039,DC,DC
274,3713770106.79,1.95,1.189,2.039,DC,DC
275,3713770109.3,1.95,1.189,2.039,DC,DC
276,3713770111.83,1.95,1.189,2.039,DC,DC
277,3713770114.33,1.95,1.189,2.039,DC,DC
278,3713770116.86,1.95,1.189,2.039,DC,DC
279,3713770119.38,1.95,1.189,2.039,DC,DC
280,3713770121.88,1.95,1.189,2.039,DC,DC
281,3713770124.39,1.95,1.189,2.039,DC,DC
282,3713770126.91,1.95,1.189,2.039,DC,DC
283,3713770129.42,1.95,1.189,2.039,DC,DC
284,3713770131.93,1.95,1.188,2.039,DC,DC
285,3713770134.45,1.95,1.189,2.039,DC,DC
286,3713770136.98,1.95,1.189,2.039,DC,DC
287,3713770139.52,1.95,1.188,2.039,DC,DC
288,3713770142.04,1.95,1.188,2.039,DC,DC
