,0,1,2,3,4,5,6
0,time[s],Voltage CH1,Voltage CH2,Current CH1,Current CH2,Power CH1,Power CH2
38,3713248579.217885,14.9991,1.2218,0.2550,0.2498,3.82,0.31
39,3713248580.2492967,14.9990,1.2217,0.2515,0.2499,3.77,0.31
40,3713248581.2837048,14.9989,1.2214,0.2519,0.2499,3.78,0.31
41,3713248582.3151145,14.9990,1.2213,0.2508,0.2498,3.76,0.31
42,3713248583.35052,14.9990,1.2210,0.2490,0.2498,3.73,0.31
43,3713248584.384929,14.9990,1.2209,0.2529,0.2498,3.79,0.30
44,3713248585.4193373,14.9991,1.2207,0.2524,0.2498,3.83,0.30
45,3713248586.4578886,14.9990,1.2205,0.2487,0.2498,3.73,0.30
46,3713248587.4937468,14.9992,1.2206,0.2513,0.2498,3.77,0.30
47,3713248588.5259194,14.9990,1.2207,0.2532,0.2498,3.80,0.30
48,3713248589.5562115,14.9990,1.2208,0.2496,0.2498,3.74,0.30
49,3713248590.5890446,14.9990,1.2208,0.2512,0.2498,3.77,0.30
50,3713248591.6185827,14.9989,1.2205,0.2486,0.2498,3.81,0.30
51,3713248592.65105,14.9990,1.2205,0.2495,0.2498,3.74,0.30
52,3713248593.688759,14.9990,1.2203,0.2483,0.2498,3.72,0.30
53,3713248594.7227764,14.9990,1.2202,0.2559,0.2498,3.84,0.30
54,3713248595.7589808,14.9990,1.2200,0.2483,0.2498,3.72,0.30
55,3713248596.795079,14.9990,1.2199,0.2492,0.2498,3.74,0.30
56,3713248597.82738,14.9989,1.2198,0.2558,0.2498,3.84,0.30
57,3713248598.8633413,14.9988,1.2197,0.2489,0.2498,3.73,0.30
58,3713248599.9013796,14.9988,1.2196,0.2477,0.2498,3.71,0.30
59,3713248600.932667,14.9988,1.2196,0.2572,0.2498,3.86,0.30
60,3713248601.969552,14.9987,1.2194,0.2516,0.2498,3.77,0.30
61,3713248603.00284,14.9988,1.2194,0.2573,0.2498,3.86,0.30
62,3713248604.0342817,14.9989,1.2200,0.2566,0.2498,3.85,0.30
63,3713248605.0713935,14.9989,1.2193,0.2577,0.2498,3.87,0.30
64,3713248606.1169133,14.9989,1.2197,0.2472,0.2498,3.85,0.30
65,3713248607.1492205,14.9988,1.2194,0.2554,0.2498,3.83,0.30
66,3713248608.182524,14.9988,1.2192,0.2538,0.2498,3.81,0.30
67,3713248609.221259,14.9991,1.2188,0.2512,0.2498,3.77,0.30
68,3713248610.255432,14.9991,1.2189,0.2476,0.2498,3.71,0.30
69,3713248611.2886753,14.9990,1.2189,0.2577,0.2498,3.87,0.30
70,3713248612.3266077,14.9989,1.2190,0.2582,0.2498,3.87,0.30
71,3713248613.3641806,14.9989,1.2193,0.2483,0.2498,3.72,0.30
72,3713248614.4021387,14.9989,1.2194,0.2509,0.2498,3.76,0.30
73,3713248615.434189,14.9990,1.2192,0.2462,0.2498,3.69,0.30
74,3713248616.4693065,14.9990,1.2198,0.2488,0.2498,3.73,0.30
75,3713248617.5042105,14.9989,1.2198,0.2531,0.2498,3.80,0.30
76,3713248618.539597,14.9990,1.2197,0.2465,0.2498,3.70,0.30
77,3713248619.584919,14.9989,1.2199,0.2579,0.2498,3.87,0.30
78,3713248620.61973,14.9987,1.2197,0.2511,0.2498,3.75,0.30
79,3713248621.652972,14.9987,1.2196,0.2464,0.2498,3.69,0.30
80,3713248622.6868143,14.9987,1.2196,0.2583,0.2498,3.87,0.30
81,3713248623.734168,14.9987,1.2196,0.2464,0.2498,3.69,0.30
